system:index,area,class,ring,state,year,.geo
2_1_1_1_1_1_1_1_1_2_4,4.2760896205347836E8,4,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_5,5.32811121874056E8,5,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_6,1.73959376305283E8,6,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_7,5.480192300880341E7,7,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_8,1448189.547055951,8,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_0,1.4024534400407862E7,0,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_1,2.610538656621347E9,1,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_2,4.02835230439185E7,2,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_3,3528971.6286266856,3,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_4,4.463510183324058E8,4,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_5,5.304349570071919E8,5,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_6,1.9918368975507143E8,6,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_7,4.385614130056869E7,7,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_2_8,3885628.3133540144,8,2-4km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_0,1.729326193178232E7,0,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_1,2.710067614229651E9,1,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_2,2.417648898720033E7,2,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_3,1983376.567892157,3,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_4,4.4539809680415225E8,4,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_5,4.6184929818182343E8,5,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_6,2.258072083396063E8,6,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_7,5.362710405623564E7,7,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_2_8,1.0015837446447995E7,8,2-4km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_0,2.978154215102444E7,0,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_1,4.996443521463166E9,1,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_2,4.221022033500977E7,2,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_3,647792.9969468061,3,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_4,6.926269817118907E8,4,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_5,9.353763587880492E8,5,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_6,2.5102349731493753E8,6,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_7,9.19948199580528E7,7,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_2_8,7495935.35002968,8,4-8km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
